NAME1,ADDRESS,TK,NAME,TITLE,TITLE_1, 
Καταρράκτης,θέση Ροδιά (Μπουγά),,Πάτρα,ΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Μυκηναϊκός, 
Κάτω Σαμικό,,,Κάτω Σαμικό,Ζ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Καφυές,,,Χωτούσα Μαντινείας,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Κεντρική κτιριακή ενότητα (Γαλεριανό συγκρότημα),,,Θεσσαλονίκη,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ανακτορικό συγκρότημα, 
Κεραμεικός,Ερμού 148,,Αθήνα,Γ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Κεραμεικός - Φιγαρέτο Κέρκυρας,Οικόπεδο Μικάλεφ,,Φιγαρέτο,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Βιοτεχνική εγκατάσταση, 
Κεραμιδαριά,,68002,Κεραμιδαριά Σαμοθράκης,ΙΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Βιοτεχνική εγκατάσταση, 
Κεραμικά εργαστήρια αρχαίας πόλης Κέρκυρας,Κανόνι,,Κέρκυρα,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Βιοτεχνική εγκατάσταση, 
Κιόνια Τήνου,Κιόνια,,Τήνος,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Κίρρα,,,Ιτέα,Ι΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Κίσαμος,,,Επαρχία Κισάμου,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Κλειστός πολεμικός λιμένας Θάσου,,,Θάσος,Εφορεία Εναλίων Αρχαιοτήτων,Λιμενικές εγκαταστάσεις, 
Κλειστός πολεμικός λιμένας της Αρχαίας πόλεως Σάμου,,,Πυθαγόρειο,Εφορεία Εναλίων Αρχαιοτήτων,Λιμενικές εγκαταστάσεις, 
Κλίμακες Πάτρας,,,Πάτρα,Υπηρεσία Νεωτέρων Μνημείων και Τεχνικών Έργων Δυτικής Ελλάδας,Υποδομής, 
Κνωσός,,71409,Κνωσός,ΚΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Κορσιαί Βοιωτίας,,,Πρόδρομος,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Κουφονήσι,,,Λεύκη,ΚΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Κράνη Κεφαλονιάς,,,Αργοστόλι,ΛΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Κραννών,,41500,Κραννώνας,ΙΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Κρίσσα,,33054,Χρισσό,Ι΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Κτιμένη,Καρδίτσα,43100,Θεσσαλία,ΛΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη - κάστρο, 
Κυδωνία,,73131,Χανιά,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Κύμη,,34003,Βιγλατούρι Κύμης,ΙΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Κύνος,,35007,Λιβανάτες,ΙΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Κωνστάντια,,59300,Δήμος Εξαπλατάνου,ΙΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Λαδοχώρι,Ηγουμενίτσα,46100,Λαδοχώρι Ηγουμενίτσας,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Λαζαρέτο,,,Κέρκυρα,Υπηρεσία Νεωτέρων Μνημείων και Τεχνικών Έργων Ιονίων Νήσων,Κέντρα Διοίκησης, 
Λάρυμνα,,,Λάρυμνα,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Λάρυμνα,,,Λάρυμνα,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Λατομείο ερυθρού ταινάριου λίθου,,,Διμαρίστικα,Διεύθυνση Βυζαντινών και Μεταβυζαντινών Αρχαιοτήτων,Υποδομής, 
Λατώ,,72051,Κριτσά,ΚΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Λεβήνας,,70009,Μιαμού,ΚΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Λεβήνας,,70009,Μιαμού,ΚΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Λείβηθρα,,60063,Λεπτοκαρυά,ΚΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Λέπρεο,,,Λέπρεο,Ζ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Λέρνα,Μύλοι,,Μύλοι,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Λευκαντί,,34100,Ξερόπολη,ΙΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Λεχαίου λιμήν,Αρχαία Κόρινθος,20007,Κόρινθος,ΛΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Υποδομής, 
Λιθαρές,,,Θήβα,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Διαμονής, 
Λιλαία - Πολύδροσο,,33057,Κάτω Αγόριανη,Ι΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Λιμάνι Κέρκυρας,,,Κέρκυρα,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Λιμενικές εγκαταστάσεις, 
Λίνδος,,85107,Λίνδος,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Λίνδος,,85107,Λίνδος,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Λισός,,,Χανιά,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Λοκρίδας Δυτικής οχυρώσεις,,33053,Λοκρίδα,Ι΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Λουτρά (Γαλεριανό συγκρότημα),,,Θεσσαλονίκη,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Λουτρά, 
Λυγιά,Ηγουμενίτσα,46100,Ηγουμενίτσα,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Λύκαιο Όρος,,,Άνω Καρυές,ΛΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Μάλθη,,,Βασιλικό,ΛΗ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Μάλια,,70007,Μάλια,ΚΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Μάνικα,Περιοχή Μάνικα Χαλκίδας,34100,Μάνικα,ΙΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Μαντίνεια,,,Μαντίνεια,ΛΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Μαξιμιανούπολις-Μοσυνούπολις,,,Μίσχος,15η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη, 
"Μαραθώνας, Μπρεξίζα: Ιερό των Αιγυπτίων Θεών",,,Νέα Μάκρη,Β΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Μαστιλίτσα,,,Σαγιάδα,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Μεγαλόπολη,,,Μεγαλόπολη,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Μένδη,,63077,Καλάνδρα Παλλήνης,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Μενελάειον Σπάρτης,,,Σπάρτη,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Μενελάειον Σπάρτης,,,Σπάρτη,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Μεσαιωνική Πόλη της Ρόδου,,85100,Ρόδος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη, 
Μεσολιθικός οικισμός Μαρουλάς,,,Κύθνος,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Μετέωρα,Καστράκι,,Καλαμπάκα,19η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Μετοχιακό συγκρότημα Νέων Φλογητών,,,Νέα Φλογητά,10η Εφορεία Βυζαντινών Αρχαιοτήτων,Ενασχολήσεων, 
Μητρόπολη,Καρδίτσα,43100,Θεσσαλία,ΛΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικιστικό σύνολο, 
Μιδέα,,21055,Μιδέα,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Μίεζα,,59035,Λευκάδια,ΙΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Μινώα Αμοργού,Αμοργός,84008,Μινώα Αμαργού,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Μιτόπολη,θέση Καραγιάννη,,Πάτρα,ΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Μονεμβασιά,,,Μονεμβασιά,5η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Μονή Οσίου Λουκά,,,Στείριο Βοιωτίας,23η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Μόχλος,,72057,Μόχλος,ΚΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Μυκηναϊκή Ακρόπολη Αγίου Ανδρέα,Λόφος Αγίου Ανδρέα - Κοινότητα Απολλωνίας Σίφνου,,Σίφνος,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Μυκηναϊκή Ακρόπολη Γλα,,,Κάστρο,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Μυκηναϊκό νεκροταφείο Πυλώνα,,,Πυλώνα,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Μυκηναϊκός οικισμός Χαλανδρίτσας,,,Πάτρα,ΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Μυκήνες,,,Μυκήνες,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Μυστράς,,,Μυστράς,5η Εφορεία Βυζαντινών Αρχαιοτήτων,Αρχαιολογικά Μουσεία & Συλλογές, 
Μυστράς,,,Μυστράς,5η Εφορεία Βυζαντινών Αρχαιοτήτων,Θρησκευτικό κέντρο, 
Μυστράς,,,Μυστράς,5η Εφορεία Βυζαντινών Αρχαιοτήτων,Ανακτορικό συγκρότημα, 
"Ναυάγιο ""Κιόνων"" στη Σαπιέντζα Μεθώνης",,,Μεθώνη,Εφορεία Εναλίων Αρχαιοτήτων,Χώροι εκτός κατάταξης, 
"Ναυάγιο ""Σαρκοφάγων"" στη Σαπιέντζα Μεθώνης",,,Μεθώνη,Εφορεία Εναλίων Αρχαιοτήτων,Χώροι εκτός κατάταξης, 
Ναυάγιο εμπορικού πλοίου στην Περιστέρα,,,Αλόννησος,Εφορεία Εναλίων Αρχαιοτήτων,Χώροι εκτός κατάταξης, 
Νεκρομαντείο του Αχέροντα,,,Μεσοπόταμος,ΛΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρικοί, 
Νεκροπόλεις,,,Νικόπολη,ΛΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεκρόπολη Αγίας Παρασκευής Θεσσαλονίκης,,57001,Θεσσαλονίκη,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεκρόπολη Αρμένων,,74100,Αρμένοι,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεκρόπολη Δερβενίου,,54500,Δερβένι,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεκρόπολη Κορακόνερου,,85100,Ρόδος,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεκρόπολη περιοχής Αγίου Ιωάννη,,85100,Ρόδος,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεκρόπολη Σίνδου,,57400,Σίνδος,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεκρόπολη στο Φουρνί Αρχανών,,70100,Άνω Αρχάνες,ΚΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεκροταφεία Πόλης Απολλωνίας,,,Νέα Απολλωνία,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Νεκροταφείο,,,Άρτα,ΛΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Νεκροταφείο Γυναικόκαστρου,,,Παλαιό Γυναικόκαστρο,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Νεκροταφείο Μαζαρακιάς,,,Μαζαρακιά,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Νεκροταφείο στο Καλαμάκι Ελαιοχωρίου,,,Ελαιοχώρι,ΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Νεκροταφείο Τράπεζας Άνω Τούμπας Θεσσαλονίκης,,,Άνω Τούμπα,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
"Νεκροταφείο των τύμβων, Αίγαι",,,Βεργίνα,ΙΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Νεολιθικός οικισμός Θέρμης,,,Θέρμη,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικιστικό σύνολο, 
Νεολιθικός οικισμός Μακρυγιάλου,,60066,Μακρύγιαλος,ΚΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Νεώρια ,,,Κέρκυρα,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Υποδομής, 
Νικόπολη,,48100,Πρέβεζα,ΛΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Νιόκαστρο,,,Πύλος,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Οχυρωμένος οικισμός, 
Νιχώρια - Καρποφόρα,,,Θέση Νιχώρια,ΛΗ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Νότια Κλιτύς Ακροπόλεως Αθηνών,,,Αθήνα,Α' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Κοινής Ωφέλειας, 
Ντόλιανη,Γεροπλάτανος Παραποτάμου,46100,Παραπόταμος,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οχυρωμένος οικισμός, 
Νυμφαίο - Σχολή Αριστοτέλους,,59200,Λευκάδια,ΙΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Νυμφαίο - Σχολή Αριστοτέλους,,59200,Λευκάδια,ΙΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Σχολή, 
Οικισμός  Μαυρομματίου Ιθώμης,,,Μαυρομμάτι,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Οικισμός, 
Οικισμός Σιδαρίου,,,Σιδάρι,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Οικισμός της Καστάνιας ,,,Καστάνια Μάνης,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Οικισμός, 
Ολυμπία,Αρχαία Ολυμπία,,Ολυμπία,Ζ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ολυμπιείο,Είσοδος από την Λεωφ. Βασ. Όλγας,,Αθήνα,Γ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Όλυνθος,Χαλκιδική,63200,Όλυνθος,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Όρραον,,48200,Αμμότοπος,ΛΓ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Ορχομενός,,,Ορχομενός,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ενασχολήσεων, 
Ορχομενός Αρκαδίας,,,Αρκαδικό Ορχομενού,ΛΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Οχύρωση πόλης Σταγείρων,,,Στάγειρα,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οχύρωση, 
Οχύρωση Τίρυνθας,,,Τίρυνθα,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Τείχη, 
Παλαίκαστρο,,72300,Παλαίκαστρο,ΚΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Παλαιό Γυναικόκαστρο,,61100,Γυναικόκαστρο,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρικοί, 
Παλαιόκαστρο Καστελόριζου,,85111,Μεγίστη,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Παλαιόκαστρο Μανδρακίου,,,Μανδράκι,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οχύρωση, 
Παλαιόπολη,Κανόνι,,Κέρκυρα,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Εμπορικό κέντρο, 
Παλαιοχριστιανικές Βασιλικές Σφηκιάς,,,Σφηκιά,11η Εφορεία Βυζαντινών Αρχαιοτήτων,Θρησκευτικό κέντρο, 
Παλαιοχριστιανικές Φθιώτιδες Θήβαι,,,Νέα Αγχίαλος,7η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη, 
Παλαιοχριστιανική Αμφίπολις,,65052,Αμφίπολη,12η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη, 
Παλαιοχριστιανική βασιλική Λεωνίδη,,,Αρχαία Κόρινθος,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Χριστιανικός ναός, 
Παλαιοχριστιανική βασιλική Λεωνίδη,,,Αρχαία Κόρινθος,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Βασιλική, 
Παλαιοχριστιανική Νικόπολη,6ο χλμ Ε.Ο. Πρέβεζας - Ιωαννίνων,48100,Πρέβεζα,18η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη, 
Παλαιοχριστιανικοί Φίλιπποι,,,Φίλιπποι,ΙΗ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Παλαμάς,Καρδίτσα,43100,Θεσσαλία,ΛΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Παναγιά η Κυρά,,,Νίσυρος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Παναγιά η Τσαμπίκα,,,Αρχάγγελος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Πανορμίτης,,85600,Σύμη,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Πάνορμος,,,Δελφοί,Ι΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Παπίκιον όρος,,,Σώστης,15η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Παραδοσιακός Οικισμός Σερίφου,,,Σέριφος,2η Εφορεία Βυζαντινών Αρχαιοτήτων,Παραδοσιακός οικισμός, 
Παραδοσιακός Οικισμός Ύδρας,Υδρα,,Ύδρα,1η Εφορεία Βυζαντινών Αρχαιοτήτων,Παραδοσιακός οικισμός, 
Πελινναίον,,42100,Πετρόπορο,ΛΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Πέλλα,Πέλλα,58005,Πέλλα,ΙΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Πελλάνα Λακωνίας,,,Πελλάνα,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Περραιβική Τρίπολη,,40200,Επαρχία Ελασσόνας,ΙΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Πετράς,,72200,Λεύκη,ΚΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Πέτρες,,53200,Πέτρες,ΚΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Πλαταιές,,,Πλαταιές,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Πλωτινόπολις,,68300,Διδυμότειχο,ΙΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Κοινής Ωφέλειας, 
Πνύκα,,,Αθήνα,Α' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Διοικητικό Κέντρο, 
Πόλη Απολλωνίας,,,Νέα Απολλωνία,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικιστικό σύνολο, 
Πόλις αρχαίας Θάσου,,,Λιμένας Θάσου,ΙΗ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Πολυνέρι (Κούτσι),Πολυνέρι,46100,Ηγουμενίτσα,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Διαμονής, 
Πολυρρήνια,,,Επαρχία Κισάμου,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Πολυρρήνια,,,Επαρχία Κισάμου,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Πολύστυλο,,,Άβδηρα,15η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
Πόρτες,,,Πάτρα,ΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Ποτίδαια,,63200,Ποτίδαια,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Προϊστορικός οικισμός Μακρυχωρίου,,40006,Μακρυχώρι,ΙΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Προϊστορικός οικισμός Μύρινας,Ρηχά νερά,81400,Λήμνος,Κ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Προϊστορικός οικισμός Παλαιόσκαλας,,40003,Καλαμάκι,ΙΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Προϊστορικός Οικισμός Συκεώνα,,,Θεσσαλία,ΛΔ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Πυθαγόρειο και Ηραίο Σάμου,Ηραίο,83103,Σάμος,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Πύλη Λεόντων,,,Μυκήνες,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πύλη, 
Πύργος Ραγίου,Ράγιο,46100,Ηγουμενίτσα,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πύργος, 
Ραβενή,,,Φιλιάτες,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Ραμνούς,"Δήμος Μαραθώνα, Δ.Ε. Γραμματικού",,Ραμνούντας,Β΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ραμνούς,"Δήμος Μαραθώνα, Δ.Ε. Γραμματικού",,Ραμνούντας,Β΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Ροδίνι,,85100,Ρόδος,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Ρωμαϊκά Λουτρά Ζαππείου,Κήπος Ζαππείου,,Αθήνα,Γ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Λουτρά, 
Ρωμαϊκά Λουτρά Παλαιόπολης,,,Κέρκυρα,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Λουτρά, 
Ρωμαϊκές θέρμες Αγ. Θωμά,Αγ. Θωμάς,,Μεσολόγγι,ΛΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Λουτρά, 
Ρωμαϊκή Αγορά Αθηνών,,,Αθήνα,Α' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Αγορά, 
Ρωμαϊκή Αποικία της Πέλλας,,,Νέα Πέλλα,11η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη, 
Ρωμαϊκή Αποικία της Πέλλας,,,Νέα Πέλλα,11η Εφορεία Βυζαντινών Αρχαιοτήτων,Εκκλησία, 
Σάμη Κεφαλονιάς,,,Σάμη,ΛΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Σέρβια,,,Σέρβια,17η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη - κάστρο, 
