NAME1,ADDRESS,TK,NAME,TITLE,TITLE_1, 
Ελεύθερνα,,,Ελεύθερνα,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Ελεύθερνα,,,Ελεύθερνα,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Ελεύθερνα,,,Ελεύθερνα,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικισμός, 
Ελευσίνα,,,Ελευσίνα,Γ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ελευσίνα-Η Γέφυρα του Ελευσινιακού Κηφισού,,,Ελευσίνα,Γ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Κοινής Ωφέλειας, 
Ελληνικά Ανθείας - Αρχαία Θουρία,,,Ελληνικά,ΛΗ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Ελληνιστικό νεκροταφείο  Ελληνικών Κοπάνης,,,Κοπάνη,Αρχαιολογικό Ινστιτούτο Ηπειρωτικών Σπουδών,Νεκροταφείο, 
Έλυρος,,,Χανιά,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Έλυρος,,,Χανιά,ΚΕ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Εξαμίλιο τείχος,,,Κόρινθος,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Φρούριο, 
Εξαμίλιο τείχος,,,Κόρινθος,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Τείχη, 
Εξαμίλιο τείχος,,,Κόρινθος,25η Εφορεία Βυζαντινών Αρχαιοτήτων,Βυζαντινός, 
Επίδαυρος - Λιμηρά,,230 52,Επαρχία Επιδαύρου-Λιμηρών,Ε΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
